STATE,2010 level(m),2011 Level (m),2012 Level (m),2013 Level (m),2014 Level (m),2015 Level (m),2016 Level (m),2017 Level (m),2018 Level (m),2019 Level (m),2020 Level (m)
UTTARAKHAND,14.37,18.81,19.54,19.03,16.85,14.48,13.94,21.24,26.11,18.09,19.51
ASSAM,4.14,4.62,4.03,4.13,4.19,4.72,4.39,4.08,3.74,3.77,3.78
Ladakh,-,-,-,-,-,-,-,-,-,-,-
GOA,6.7,6.65,6.84,6.7,6.34,6.42,4.92,5.93,5.12,4.88,5.46
LAKSHDWEEP,-,-,-,-,-,-,-,-,-,-,-
PONDICHERRY,5.14,6.13,3.48,14.68,15.72,11.43,13.98,2.52,13.73,11.49,11.3
DELHI,14.91,15.81,16.9,16.61,16.85,17.62,19.71,18.51,16.65,16.27,14.88
HIMACHAL PRADESH,7.35,7.41,6.89,6.26,5.82,7.46,7.04,7.14,6.88,5.51,6.54
TRIPURA,4.59,4.8,4.96,7.08,4.73,4.6,3.75,4.46,5.59,5.62,5.44
ANDHRA PRADESH,8.66,11.31,12.06,11.96,14.45,13.15,16.52,12.34,10.9,13.77,8.82
TAMILNADU,6.74,4.5,8.41,9.95,11.52,12.62,10.55,9.65,10.9,7.18,5.19
GUJARAT,13.9,16.35,15.83,16.99,16.87,15.7,16.4,18.51,17.51,13.16,12.72
SIKKIM,-,-,-,-,-,-,-,-,-,-,-
BIHAR,6.06,5.71,5.58,5.39,5.39,6,5.56,5.86,6.27,4.19,4.22
WEST BENGAL,7.65,7.2,8.18,7.83,7.67,7.78,7.39,7.36,8,6.72,6.85
KARNATAKA,8.21,9.66,12.7,9.57,9.22,8.6,8.92,9.33,12.46,4.64,6.27
ODISHA,6.55,7.12,6.84,6.62,5.24,5.76,5.93,5.37,4.5,3.67,3.91
PUNJAB,13.66,12.78,15.47,14.9,15.48,15.92,17.41,18.08,17.32,16.99,148.09
CHHATTISGARH,7.53,6.86,5.4,6.77,7.91,7.97,8.69,7.79,8.23,5.12,5.73
JAMMU & KASHMIR,3.14,4.13,3.4,3.07,2.91,4.33,3.56,4.77,3.82,2.66,2.14
DAMAN & DIU,5.59,5.6,6.32,7.18,8.04,7,6.34,6.77,5.76,4.25,4.09
RAJASTHAN,32.03,31.44,31.19,31.65,25.9,25.53,25.18,26.59,27.37,26.05,26.02
DADRA AND NAGAR HAV,6.2,6.77,4.68,6.86,8.44,8.87,8.45,8.17,10.31,4.1,4.51
TELANGANA,3.98,4.78,4.45,4.25,7.26,10.81,9.08,11.19,13.21,8.95,5.61
UTTAR PRADESH,7.32,7.7,7.34,7.14,7.09,8.53,8.25,8.68,17.97,15.06,4.11
MEGHALAYA,2.91,2.99,2.86,3.73,2.68,2.78,2.59,2.84,3.1,2.66,2.87
KERALA,5.07,8.5,8.02,3.97,6.79,7.37,7.67,7.35,7.72,10.12,6.08
HARYANA,12.93,16.24,15.44,15.59,16.31,15.31,16.33,17.16,16.86,15.4,17.08
ANDAMAN & NICOBAR,-,-,2.17,3.36,2.72,3.57,2.93,1.55,2.04,2.34,-
JHARKHAND,8.87,8.18,7.67,7.09,6.11,7.83,8.06,7.6,8.09,4.87,5.37
MAHARASHTRA,7.88,8.52,9.2,7.87,8.6,10.21,9.2,8.98,10.52,5.86,5.88
NAGALAND,5.53,-,5.64,8.17,4.61,5.12,2.84,-,-,-,-
MADHYA PRADESH,11.91,11.17,10.93,9.8,10.5,10.75,10.84,11.23,11.02,7.09,7.96
ARUNACHAL PRADESH,5.95,5.84,4.69,6.25,6.56,6.33,7.03,7.06,6.04,5.71,5.34
MIZORAM,-,-,-,-,-,-,-,-,-,-,-
CHANDIGARH,19.3,16.94,23.31,20.78,17.81,15.72,26.4,31.75,22.27,25.46,21.97
MANIPUR,-,-,-,-,-,-,-,-,-,-,-
